car_id,year,make,model_trim_as_listed,hvt_url,hvt_spec,edition_date,v1_value,v1_hi,v1_lo,v2_value,v2_hi,v2_lo,v3_value,v3_hi,v3_lo,v4_value,v4_hi,v4_lo,quarterly_change,annual_change,three_year_change,trend_1_date,trend_1_value,trend_2_date,trend_2_value,trend_3_date,trend_3_value,trend_4_date,trend_4_value,exact_match,notes
1,1957,Chevrolet,Bel Air convertible,https://www.hagerty.com/valuation-tools/chevrolet/bel_air/1957/1957-chevrolet-bel_air-base?id=aCn1I000000CtndSAC,"2dr Convertible, 8-cyl. 283cid/220hp 4bbl",Jul 2026,"$141,000","$156,133","$125,867","$95,600","$110,733","$85,700","$65,900","$75,800","$57,700","$41,300","$49,500","$33,100",0%,+2.8%,-2.1%,Jul 2026,"$65,900",Apr 2026,"$65,900",Jan 2026,"$65,900",Oct 2025,"$62,200",yes,
2,1963,Chevrolet,Corvette Sting Ray coupe 327/340,https://www.hagerty.com/valuation-tools/chevrolet/corvette/1963/1963-chevrolet-corvette-base?id=aCn1I000000CsOtSAK,"2dr Split-Window Coupe, 8-cyl. 327cid/340hp 4bbl L76",Jul 2026,"$217,000","$232,000","$202,000","$172,000","$187,000","$159,000","$133,000","$146,000","$120,633","$95,900","$108,267","$83,533",-11.9%,-16.4%,+2.3%,Jul 2026,"$133,000",Apr 2026,"$151,000",Jan 2026,"$147,000",Oct 2025,"$143,000",yes,-10% for auto transmission; +5% for factory knock-off wheels; +$12.5k for a/c; +$2.5k for leather interior
3,1965,Ford,Mustang fastback 289,https://www.hagerty.com/valuation-tools/ford/mustang/1965/1965-ford-mustang-base?id=aCn1I000000CvGiSAK,"2dr Fastback, 8-cyl. 289cid/225hp 4bbl",Jul 2026,"$82,500","$89,933","$75,067","$60,200","$67,633","$56,567","$49,300","$52,933","$41,100","$24,700","$32,900","$16,500",0%,-4.1%,-6.6%,Jul 2026,"$49,300",Apr 2026,"$49,300",Jan 2026,"$51,400",Oct 2025,"$51,400",yes,-10% for auto transmission; +6% for a/c
4,1967,Chevrolet,Corvette L71 427/435 coupe,https://www.hagerty.com/valuation-tools/chevrolet/corvette/1967/1967-chevrolet-corvette-base?id=aCn1I000000CqlrSAC,"2dr Coupe, 8-cyl. 427cid/435hp 3x2bbl L71",Jul 2026,"$216,000","$234,000","$198,000","$162,000","$180,000","$144,000","$108,000","$126,000","$100,767","$86,300","$93,533","$79,067",0%,-3.6%,-5.3%,Jul 2026,"$108,000",Apr 2026,"$108,000",Jan 2026,"$108,000",Oct 2025,"$108,000",yes,-10% for auto transmission; +150% for 36-gal tank; +10% for bolt-on mag wheels; +5% for off-road exhaust; +5% for side-mount exhaust; +$2.5k for leather interior; +$5k for a/c
5,1969,Chevrolet,Camaro Z/28,https://www.hagerty.com/valuation-tools/chevrolet/camaro/1969/1969-chevrolet-camaro-z!!28_rs?id=aCn1I000000CryKSAS,"2dr Sport Coupe, 8-cyl. 302cid/290hp 4bbl",Jul 2026,"$190,000","$214,333","$165,667","$117,000","$141,333","$104,233","$78,700","$91,467","$71,967","$58,500","$65,233","$51,767",-9%,-10.6%,-9.5%,Jul 2026,"$78,700",Apr 2026,"$86,500",Jan 2026,"$80,100",Oct 2025,"$88,000",substituted,"Used 1969 Chevrolet Camaro Z/28 RS (Z/28 with Rally Sport package) page as nearest to listed Z/28, exact non-RS Z/28 page not in search results | +10% for JL8 brakes"
6,1970,Chevrolet,Chevelle SS 396,https://www.hagerty.com/valuation-tools/chevrolet/chevelle/1970/1970-chevrolet-chevelle-ss_396?id=aCn1I000000D2U4SAK,"2dr Sport Coupe, 8-cyl. 396cid/375hp 4bbl L78",Jul 2026,"$108,000","$114,333","$101,667","$89,000","$95,333","$82,833","$70,500","$76,667","$63,800","$50,400","$57,100","$43,700",+3.1%,+8.1%,+23.3%,Jul 2026,"$70,500",Apr 2026,"$68,400",Jan 2026,"$64,500",Oct 2025,"$65,200",yes,+15% for 4-speed manual transmission
7,1970,Plymouth,Cuda 340,https://www.hagerty.com/valuation-tools/plymouth/cuda/1970/1970-plymouth-cuda-aar?id=aCn1I000000DNGqSAO,"2dr Hardtop Coupe, 8-cyl. 340cid/290hp 3x2bbl Six Pack",Jul 2026,"$141,000","$152,667","$129,333","$106,000","$117,667","$94,067","$70,200","$82,133","$62,400","$46,800","$54,600","$39,000",0%,0%,-16.2%,Jul 2026,"$70,200",Apr 2026,"$70,200",Jan 2026,"$70,200",Oct 2025,"$70,200",substituted,"Base 1970 Cuda 340 (340cid/275hp) not in HVT, used 1970 Cuda AAR (340cid/290hp Six Pack) as nearest 340-powered 1970 Cuda | +10% for 4-speed; Note Colors can make an astonishing difference in both value and salability"
8,1969,Dodge,Charger R/T 440,https://www.hagerty.com/valuation-tools/dodge/charger/1969/1969-dodge-charger-r!!t?id=aCn1I000000DDomSAG,"2dr Hardtop Coupe, 8-cyl. 440cid/375hp 4bbl Hi-Perf",Jul 2026,"$115,000","$123,600","$106,400","$89,200","$97,800","$78,467","$57,000","$67,733","$51,933","$41,800","$46,867","$36,733",0%,-5.3%,-16.9%,Jul 2026,"$57,000",Apr 2026,"$57,000",Jan 2026,"$54,800",Oct 2025,"$60,200",yes,+15% for SE package; +20% for 4-speed; Note Colors can make an astonishing difference in both value and salability
9,1966,Shelby,GT350,https://www.hagerty.com/valuation-tools/shelby/gt350/1966/1966-shelby-gt350-base?id=aCn1I000000DPVXSA4,"2dr Fastback, 8-cyl. 289cid/306hp 4bbl",Jul 2026,"$378,000","$398,000","$358,000","$318,000","$338,000","$289,000","$231,000","$260,000","$201,667","$143,000","$172,333","$113,667",+6%,+13.2%,-3.3%,Jul 2026,"$231,000",Apr 2026,"$218,000",Jan 2026,"$204,000",Oct 2025,"$204,000",yes,+35% for 1965 carry-over cars up to S/N 252
10,1968,Pontiac,GTO,https://www.hagerty.com/valuation-tools/pontiac/gto/1968/1968-pontiac-gto-base?id=aCn1I000000DKsuSAG,"2dr Hardtop Coupe, 8-cyl. 400cid/350hp 4bbl",Jul 2026,"$58,700","$62,600","$54,800","$47,000","$50,900","$40,267","$26,800","$33,533","$23,067","$15,600","$19,333","$11,867",0%,-6%,-17.5%,Jul 2026,"$26,800",Apr 2026,"$26,800",Jan 2026,"$26,800",Oct 2025,"$28,500",yes,+10% for factory a/c; +15% for factory 4-speed; -10% for auto transmission
11,1955,Ford,Thunderbird,https://www.hagerty.com/valuation-tools/ford/thunderbird/1955/1955-ford-thunderbird-base?id=aCn1I000000DGbiSAG,"2dr Convertible, 8-cyl. 292cid/198hp 4bbl",Jul 2026,"$54,100","$59,867","$48,333","$36,800","$42,567","$32,400","$23,600","$28,000","$20,667","$14,800","$17,733","$11,867",+3.1%,-2.1%,-15.1%,Jul 2026,"$23,600",Apr 2026,"$22,900",Jan 2026,"$22,000",Oct 2025,"$22,900",yes,Note Prices assume both hard and soft tops; -$6k for hard top only; -$4k for soft top only; Note Deductions can never exceed 50% of condition #4 value
12,1959,Cadillac,Series 62 convertible,https://www.hagerty.com/valuation-tools/cadillac/series_62/1959/1959-cadillac-series_62-base?id=aCn1I000000DMmiSAG,"2dr Convertible, 8-cyl. 390cid/325hp 4bbl",Jul 2026,"$233,000","$250,000","$216,000","$182,000","$199,000","$161,000","$119,000","$140,000","$106,167","$80,500","$93,333","$67,667",0%,0%,0%,Jul 2026,"$119,000",Apr 2026,"$119,000",Jan 2026,"$119,000",Oct 2025,"$119,000",yes,
13,1971,Chevrolet,C10 short bed pickup,https://www.hagerty.com/valuation-tools/chevrolet/c10/1971/1971-chevrolet-c10-1!!2_ton?id=aCn1I000000DTlDSAW,"2dr Fleetside Short Bed Pickup, 8-cyl. 350cid/250hp 4bbl",Jul 2026,"$60,800","$64,767","$56,833","$48,900","$52,867","$41,800","$27,600","$34,700","$21,800","$10,200","$16,000","$4,400",0%,+6.2%,+6.6%,Jul 2026,"$27,600",Apr 2026,"$27,600",Jan 2026,"$26,000",Oct 2025,"$26,000",yes,
14,1976,Ford,Bronco,https://www.hagerty.com/valuation-tools/ford/bronco/1976/1976-ford-bronco-base?id=aCn1I000000D4ilSAC,"2dr Wagon 4x4, 8-cyl. 302cid/121hp 2bbl",Jul 2026,"$131,000","$152,033","$109,967","$67,900","$88,933","$62,300","$51,100","$56,700","$46,500","$37,300","$41,900","$32,700",0%,-12%,-16%,Jul 2026,"$51,100",Apr 2026,"$51,100",Jan 2026,"$58,100",Oct 2025,"$58,100",yes,"Used 302cid V8 (standard/most common engine, task did not specify engine)"
